date&time,temperature (°C),humidity (%),wind_speed (km/h),precipitation
-2,93,4,1025,Sunny.
-2,93,4,1025,Partly sunny.
-2,93,4,1025,Scattered clouds.
1,75,6,1025,Sunny.
2,70,4,1025,Sunny.
2,70,2,1025,Sunny.
3,65,4,1024,Sunny.
3,65,4,1024,Passing clouds.
3,60,4,1024,Passing clouds.
4,61,2,1024,Passing clouds.
4,56,2,1023,Passing clouds.
4,56,2,1023,Passing clouds.
4,56,2,1024,Passing clouds.
3,60,4,1024,Passing clouds.
2,65,4,1024,Passing clouds.
0,75,2,1024,Passing clouds.
-1,80,4,1024,Passing clouds.
-1,80,2,1024,Passing clouds.
-2,86,2,1024,Passing clouds.
-3,86,2,1024,Passing clouds.
-3,93,2,1024,Passing clouds.
-3,86,2,1024,Clear.
-3,86,4,1024,Clear.
-4,93,2,1024,Passing clouds.
-4,93,2,1024,Passing clouds.
-4,93,2,1024,Passing clouds.
-5,93,6,1024,Clear.
-5,93,2,1024,Clear.
-5,93,2,1024,Clear.
-5,93,2,1024,Clear.
-6,100,2,1024,Clear.
-6,93,2,1024,Clear.
-6,93,4,1024,Clear.
-6,93,2,1023,Clear.
-6,93,2,1024,Clear.
-6,93,2,1024,Passing clouds.
-7,93,4,1024,Passing clouds.
-7,93,2,1024,Passing clouds.
-7,93,6,1023,Clear.
-7,93,2,1023,Passing clouds.
-7,86,4,1023,Passing clouds.
-7,86,6,1023,Passing clouds.
-7,93,4,1023,Passing clouds.
-7,93,2,1023,Passing clouds.
-7,86,4,1023,Passing clouds.
-7,93,6,1023,Passing clouds.
-7,86,6,1023,Passing clouds.
-6,93,6,1023,Sunny.
-4,93,6,1023,Passing clouds.
-3,93,7,1024,Passing clouds.
-2,86,9,1024,Sunny.
-1,80,7,1024,Passing clouds.
-1,86,13,1023,Passing clouds.
0,80,13,1023,Passing clouds.
1,75,13,1023,Passing clouds.
1,75,15,1022,Passing clouds.
2,70,17,1021,Passing clouds.
1,70,17,1021,Passing clouds.
2,70,13,1021,Passing clouds.
1,75,11,1021,Passing clouds.
1,70,11,1021,Passing clouds.
1,70,11,1021,Sunny.
1,70,11,1020,Clear.
1,70,15,1020,Passing clouds.
1,70,17,1020,Passing clouds.
1,70,17,1020,Passing clouds.
1,70,13,1020,Passing clouds.
1,70,15,1019,Passing clouds.
1,70,17,1019,Passing clouds.
1,70,17,1019,Passing clouds.
1,70,19,1018,Partly cloudy.
1,70,17,1018,Partly cloudy.
1,70,15,1018,Partly cloudy.
1,70,17,1018,Passing clouds.
1,70,20,1017,Passing clouds.
1,75,19,1017,Passing clouds.
1,75,17,1017,Passing clouds.
1,75,20,1016,Passing clouds.
1,75,24,1016,Passing clouds.
1,75,22,1015,Passing clouds.
1,75,26,1015,Passing clouds.
1,75,28,1015,Passing clouds.
1,75,22,1014,Passing clouds.
1,75,28,1014,Passing clouds.
1,81,28,1014,Passing clouds.
1,81,28,1013,Light snow. Passing clouds.
1,87,24,1012,Light snow. Passing clouds.
0,93,24,1012,Light snow. Passing clouds.
0,100,17,1011,Light snow. Mostly cloudy.
